F,H
"0:5:50,0:5:56",
"0:6:10,0:6:19",
"0:6:42,0:6:53",
"0:7:10,0:7:19",
"0:7:35,0:7:46",
"0:7:54,0:8:05",
"0:8:23,0:8:33",
"0:8:45,0:8:55",
"0:9:17,0:9:24",
"0:11:22,0:11:32",
"0:12:58,0:13:09",
"0:13:29,0:13:37",
"0:13:52,0:14:00",
"0:17:26,0:17:36",
"0:17:52,0:18:02",
"0:20:47,0:20:55",
"0:23:02,0:23:13",
"0:23:27,0:23:36",
"0:24:54,0:25:04",
"0:29:32,0:29:42",
"0:30:27,0:30:36",
"0:30:52,0:31:04",
"0:31:13,0:31:24",
"0:31:27,0:31:37",
"0:38:06,0:38:17",
"0:53:31,0:53:41",
"0:55:41,0:55:49",
"0:56:57,0:57:09",
"0:59:51,1:00:00",
"1:00:09,1:00:20",
"1:03:22,1:03:30",
"1:03:39,1:03:51",05:55
"1:03:58,1:04:10",
"1:04:16,1:04:28",
"1:05:05,1:05:13",
"1:05:21,1:05:38",
"1:05:43,1:05:52",
"1:06:54,1:07:04",
"1:07:31,1:07:43",
"1:09:49,1:10:0",
"1:11:29,1:11:40",
"1:11:45,1:11:54",
"1:14:21,1:14:30",
"1:14:45,1:14:55",
"1:16:01,1:16:09",
"1:16:42,1:16:54",
"1:17:48,1:17:56",
"1:18:26,1:18:36",
"1:20:18,1:20:25",
"1:25:40,1:25:50",
"1:26:05,1:26:14",
"1:27:01,1:27:11",
"1:28:46,1:29:27",
"1:32:28,1:32:37",
"1:32:59,1:33:10",
"1:37:34,1:37:42",
"1:39:06,1:39:15",
"1:39:24,1:39:34",
"1:41:30,1:41:40",
